city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tabuk,17.4189,121.4443,63.16,89,74,6.49,PH,1611956314
84,quetta,30.199,67.0097,38.44,51,11,0.51,PK,1611956315
85,fortuna,40.5982,-124.1573,53.01,87,1,3.44,US,1611956315
86,bowen,-20.0167,148.2333,77.0,78,40,9.22,AU,1611956315
87,viloco,-16.95,-67.55,54.84,55,15,6.46,BO,1611956315
88,khani,41.9563,42.9566,42.8,100,90,2.3,GE,1611956223
89,sorland,67.667,12.6934,19.4,79,40,3.44,NO,1611956046
90,bambous virieux,-20.3428,57.7575,80.6,83,40,11.5,MU,1611956316
91,rovaniemi,66.5,25.7167,6.8,92,93,11.5,FI,1611956316
92,yumen,40.2833,97.2,20.97,73,0,14.99,CN,1611956293
93,ilulissat,69.2167,-51.1,1.4,55,20,9.22,GL,1611956270
94,esperance,-33.8667,121.9,55.4,88,1,5.75,AU,1611956272
95,abu dhabi,24.4667,54.3667,68.0,60,0,8.05,AE,1611956149
96,slave lake,55.2834,-114.769,5.0,72,1,9.22,CA,1611956207
97,cabo san lucas,22.8909,-109.9124,84.99,64,1,21.85,MX,1611956225
98,akdepe,42.0551,59.3788,42.8,60,100,9.22,TM,1611956317
99,lambarene,-0.7001,10.2406,77.27,89,100,5.14,GA,1611956318
100,torbay,47.6666,-52.7314,28.0,93,90,13.8,CA,1611956116
101,puerto penasco,31.3167,-113.5333,62.01,80,32,15.99,MX,1611956027
102,zhanaozen,43.3,52.8,33.42,93,77,6.69,KZ,1611956318
103,beloha,-25.1667,45.05,76.77,85,35,8.43,MG,1611956318
104,vila franca do campo,37.7167,-25.4333,60.8,82,20,6.91,PT,1611956319
105,port alfred,-33.5906,26.891,64.0,88,3,1.01,ZA,1611956319
106,suntar,62.1444,117.6319,-49.86,76,85,2.46,RU,1611956319
107,vanimo,-2.6741,141.3028,78.82,81,100,9.35,PG,1611956319
108,ostrovnoy,68.0531,39.5131,8.06,94,100,18.72,RU,1611956320
109,kaitangata,-46.2817,169.8464,55.0,72,83,4.0,NZ,1611956320
110,hilo,19.7297,-155.09,71.6,83,90,8.05,US,1611956028
111,east london,-33.0153,27.9116,71.42,65,13,2.21,ZA,1611956297
112,zalantun,48.0,122.7167,-17.46,85,49,2.55,CN,1611956321
113,chuy,-33.6971,-53.4616,74.93,74,2,6.11,UY,1611956321
114,pak phanang,8.3511,100.202,76.91,85,89,8.84,TH,1611956321
115,cherskiy,68.75,161.3,-32.93,83,35,4.52,RU,1611956322
116,westport,41.1415,-73.3579,23.0,42,1,24.16,US,1611956186
117,najran,17.4924,44.1277,66.2,20,0,4.27,SA,1611956322
118,nikolskoye,59.7035,30.7861,33.01,100,90,6.71,RU,1611956216
119,camana,-16.6228,-72.7111,73.65,66,0,6.76,PE,1611956322
120,hengshui,37.7322,115.7011,31.57,74,0,1.28,CN,1611956323
121,praia da vitoria,38.7333,-27.0667,57.2,88,20,6.62,PT,1611956193
122,kruisfontein,-34.0033,24.7314,62.01,82,2,3.27,ZA,1611956323
123,viedma,-40.8135,-62.9967,71.01,47,75,19.84,AR,1611956271
124,bay roberts,47.5999,-53.2648,27.0,90,100,7.0,CA,1611956323
125,tual,-5.6667,132.75,83.46,73,100,13.15,ID,1611956222
126,mount isa,-20.7333,139.5,80.6,65,71,2.3,AU,1611956324
127,saskylakh,71.9167,114.0833,-38.63,78,44,0.81,RU,1611956324
128,guerrero negro,27.9769,-114.0611,66.67,57,0,16.2,MX,1611956324
129,gobabis,-22.45,18.9667,73.24,61,100,5.68,NA,1611956325
130,avarua,-21.2078,-159.775,82.4,78,75,6.91,CK,1611956183
131,carnarvon,-24.8667,113.6333,77.0,83,1,5.75,AU,1611956325
132,dikson,73.5069,80.5464,-31.92,85,100,6.42,RU,1611956325
133,kabanjahe,3.1001,98.4908,77.0,100,98,2.3,ID,1611956326
134,shingu,33.7333,135.9833,34.7,82,0,7.52,JP,1611956116
135,iqaluit,63.7506,-68.5145,-13.0,70,40,13.8,CA,1611956326
136,karratha,-20.7377,116.8463,81.0,77,49,4.14,AU,1611956326
137,moranbah,-22.0016,148.0466,73.96,75,1,17.13,AU,1611956327
